sigma_spatial,sigma_range,MSE,PSNR,SSIM,Perceptual,Method
3.0,0.3,0.0031131180418445996,25.068044116175777,0.6820151037037157,0.43156200647354126,Grayscale
3.0,0.35,0.003401526417421534,24.683261518103233,0.6825909356980011,0.4454958438873291,Grayscale
3.0,0.4,0.0036546659134676553,24.37152317357001,0.67841688774592,0.4581223726272583,Grayscale
3.0,0.45,0.0038658079651065153,24.127597234492114,0.6727462843320438,0.47673657536506653,Grayscale
3.5,0.05,0.007590361782120891,21.197375236783984,0.35989813279832183,0.6048577427864075,Grayscale
3.5,0.1,0.004395112873504839,23.57029967072385,0.4534121478488503,0.4993443489074707,Grayscale
3.5,0.15,0.0030085567848673646,25.216417870236413,0.5568314170116472,0.4257507920265198,Grayscale
3.5,0.2,0.002762177459492606,25.587484230772176,0.6286307937007066,0.4081926941871643,Grayscale
3.5,0.25,0.0029593498863598237,25.28803684811586,0.6640844631222474,0.4258018136024475,Grayscale
3.5,0.3,0.003279259535360378,24.842242099502215,0.6760621991819824,0.454998254776001,Grayscale
3.5,0.35,0.0035982405093734375,24.43909811417697,0.6763833317886856,0.47673261165618896,Grayscale
3.5,0.4,0.003877269838474336,24.11473973229979,0.6718745246556175,0.4890424311161041,Grayscale
3.5,0.45,0.004109861453388281,23.86172818280411,0.6658356286201459,0.5054436922073364,Grayscale
0.5,0.05,0.009960688906372741,20.0171062363557,0.6540404600271841,0.19683322310447693,RGB (denoised in RGB)
0.5,0.1,0.009517377188425097,20.214827185833002,0.6610910904697366,0.19151142239570618,RGB (denoised in RGB)
0.5,0.15,0.008553389545704384,20.678617485136822,0.6770658336891068,0.17987821996212006,RGB (denoised in RGB)
0.5,0.2,0.0075556019690039035,21.21730928889216,0.6947514844963013,0.1678466498851776,RGB (denoised in RGB)
0.5,0.25,0.0067749185386577464,21.69095922361176,0.7094524249957054,0.15873345732688904,RGB (denoised in RGB)
0.5,0.3,0.006217328724245282,22.0639616989232,0.7203884912022688,0.15275442600250244,RGB (denoised in RGB)
0.5,0.35,0.005826797664692732,22.345700625058885,0.7282276623194947,0.14923124015331268,RGB (denoised in RGB)
0.5,0.4,0.00555176856017631,22.555686468639664,0.7338138069608034,0.14742878079414368,RGB (denoised in RGB)
0.5,0.45,0.005355504977371767,22.71199572722646,0.7378227809359418,0.14674317836761475,RGB (denoised in RGB)
1.0,0.05,0.009791242438985328,20.09162195821043,0.6566917270079821,0.19439749419689178,RGB (denoised in RGB)
1.0,0.1,0.007791831656264104,21.083604390279703,0.6912313580942676,0.1654629409313202,RGB (denoised in RGB)
1.0,0.15,0.005227209503107096,22.817300933172106,0.7483333966974873,0.12833189964294434,RGB (denoised in RGB)
1.0,0.2,0.003726777415015255,24.286665450828508,0.7926489312181456,0.11106744408607483,RGB (denoised in RGB)
1.0,0.25,0.0030617092800435315,25.140360494532395,0.8164558193473982,0.11277303099632263,RGB (denoised in RGB)
1.0,0.3,0.0028255425739964384,25.488981445641265,0.8260184834365436,0.12642993032932281,RGB (denoised in RGB)
1.0,0.35,0.0028003558895411985,25.52786771857018,0.8276732618498795,0.14727802574634552,RGB (denoised in RGB)
1.0,0.4,0.0028813708600991246,25.40400840251688,0.8253280116764801,0.17218703031539917,RGB (denoised in RGB)
1.0,0.45,0.0030154027394377154,25.206546749551613,0.8211291669180657,0.19939292967319489,RGB (denoised in RGB)
1.5,0.05,0.009599657365741919,20.177442676711763,0.6596526990948642,0.19113707542419434,RGB (denoised in RGB)
1.5,0.1,0.006715619154829288,21.729139408314765,0.7127044948375607,0.14629383385181427,RGB (denoised in RGB)
1.5,0.15,0.004079321799672161,23.894120337588078,0.7820485315671629,0.10666456818580627,RGB (denoised in RGB)
1.5,0.2,0.0029638832335460294,25.281389100130653,0.823408286720886,0.09945228695869446,RGB (denoised in RGB)
1.5,0.25,0.0026716453566080585,25.73221192113506,0.8372679156465566,0.11392153799533844,RGB (denoised in RGB)
1.5,0.3,0.002744466516535869,25.615420633966362,0.8354086507773107,0.13904333114624023,RGB (denoised in RGB)
1.5,0.35,0.0029866731996578267,25.248122950891528,0.8260705071616784,0.16824239492416382,RGB (denoised in RGB)
1.5,0.4,0.003309712186215956,24.802097709895122,0.8136899711432699,0.19849607348442078,RGB (denoised in RGB)
1.5,0.45,0.003667697206086494,24.356065255521344,0.8005044417142878,0.22912441194057465,RGB (denoised in RGB)
2.0,0.05,0.009416454237670777,20.26112599850718,0.6624798585729762,0.18792888522148132,RGB (denoised in RGB)
2.0,0.1,0.0060773858253685125,22.16283191411521,0.7265167655785737,0.13478010892868042,RGB (denoised in RGB)
2.0,0.15,0.0036312068489396943,24.39949011127206,0.7969239432518077,0.09818437695503235,RGB (denoised in RGB)
2.0,0.2,0.0028035759771866935,25.522876699825282,0.8312239528095594,0.09796881675720215,RGB (denoised in RGB)
2.0,0.25,0.0027349478226238455,25.630509547282468,0.8363198145590665,0.11860115826129913,RGB (denoised in RGB)
2.0,0.3,0.002997513079132157,25.23238913255792,0.8258718567224088,0.14784348011016846,RGB (denoised in RGB)
2.0,0.35,0.003418014007424917,24.662261618215773,0.8084915978526349,0.1796625554561615,RGB (denoised in RGB)
2.0,0.4,0.003915784863960641,24.071811766649486,0.7886861028960354,0.2117735743522644,RGB (denoised in RGB)
2.0,0.45,0.004446111499145077,23.520196503063357,0.7686965543081293,0.24253246188163757,RGB (denoised in RGB)
2.5,0.05,0.009250945980234196,20.338138550458844,0.6650432540927813,0.185019850730896,RGB (denoised in RGB)
2.5,0.1,0.005680144402809751,22.456406233477352,0.7354450052174565,0.12780413031578064,RGB (denoised in RGB)
2.5,0.15,0.003439577471916296,24.634949041975645,0.8033620765067907,0.09578511118888855,RGB (denoised in RGB)
2.5,0.2,0.0028083287709072717,25.5155205073287,0.8314492241588248,0.10060494393110275,RGB (denoised in RGB)
2.5,0.25,0.0028883896179857193,25.393442247006163,0.8302394751848642,0.12508229911327362,RGB (denoised in RGB)
2.5,0.3,0.0032866848475187867,24.832419373985587,0.8137891575172813,0.15713880956172943,RGB (denoised in RGB)
2.5,0.35,0.0038443393799150096,24.151782796095524,0.7906983157807245,0.19158446788787842,RGB (denoised in RGB)
2.5,0.4,0.004484045175817571,23.483300206289254,0.7654725624324188,0.22536905109882355,RGB (denoised in RGB)
2.5,0.45,0.005159980426047432,22.87351945829322,0.7403726092359255,0.2576540410518646,RGB (denoised in RGB)
3.0,0.05,0.009106496319689674,20.40648683587626,0.6672953431714538,0.18251214921474457,RGB (denoised in RGB)
3.0,0.1,0.005423253682100865,22.657400802114633,0.7413059072934846,0.12369032204151154,RGB (denoised in RGB)
3.0,0.15,0.0033591455149949863,24.73771182526143,0.805960673172879,0.09646879881620407,RGB (denoised in RGB)
3.0,0.2,0.002866199729666766,25.42693549294637,0.8293570726652352,0.10526952892541885,RGB (denoised in RGB)
3.0,0.25,0.003053421188129733,25.152132851005984,0.8238380581971209,0.1320320963859558,RGB (denoised in RGB)
3.0,0.3,0.0035561858547427153,24.490155498446914,0.8033155927375687,0.1659878045320511,RGB (denoised in RGB)
3.0,0.35,0.0042249445777830935,23.741789836896373,0.776264349291904,0.20202350616455078,RGB (denoised in RGB)
3.0,0.4,0.004983749712306396,23.02443776399777,0.7471681499084458,0.2374354898929596,RGB (denoised in RGB)
3.0,0.45,0.005784956160370148,22.376999278758404,0.7183130460174905,0.2715645134449005,RGB (denoised in RGB)
3.5,0.05,0.008979775830066037,20.467345048672733,0.6692878546752646,0.18036966025829315,RGB (denoised in RGB)
3.5,0.1,0.005248240395978011,22.799862802910088,0.7453284426844856,0.12138377130031586,RGB (denoised in RGB)
3.5,0.15,0.003330447675805748,24.774973850929474,0.8068582521916993,0.09867318719625473,RGB (denoised in RGB)
3.5,0.2,0.002939872808699714,25.316714585928658,0.8268685747770608,0.11054137349128723,RGB (denoised in RGB)
3.5,0.25,0.003209086597402172,24.93618563282661,0.8184933075750447,0.1388930231332779,RGB (denoised in RGB)
3.5,0.3,0.003796291988849458,24.206403915373535,0.7952878541348213,0.17401432991027832,RGB (denoised in RGB)
3.5,0.35,0.004558574861911406,23.411709087270353,0.7655513951128539,0.21102657914161682,RGB (denoised in RGB)
3.5,0.4,0.005420551681425388,22.659565105084674,0.7337295077070768,0.247653067111969,RGB (denoised in RGB)
3.5,0.45,0.006332592509109511,21.98418457139099,0.702129942943746,0.2831571102142334,RGB (denoised in RGB)
0.5,5,0.009224570623772835,20.350538398102024,0.6641452132410146,0.19026237726211548,RGB (denoised in CIELAB)
0.5,10,0.008957687507559852,20.478040921603174,0.6682217658902371,0.18444882333278656,RGB (denoised in CIELAB)
0.5,15,0.008365322019252823,20.77517336411954,0.6774911965960865,0.17401182651519775,RGB (denoised in CIELAB)
0.5,20,0.007654066842874861,21.161077494064045,0.6893394144838009,0.16403165459632874,RGB (denoised in CIELAB)
0.5,25,0.006993261565683623,21.55320227743083,0.7012275193888807,0.15667842328548431,RGB (denoised in CIELAB)
0.5,30,0.00644805923729132,21.905709813905325,0.7118198973245882,0.1519974321126938,RGB (denoised in CIELAB)
0.5,35,0.00602283972264595,22.201986939432523,0.7206828971561953,0.14937236905097961,RGB (denoised in CIELAB)
0.5,40,0.005699108263039427,22.44193092878069,0.7278602765665284,0.14814633131027222,RGB (denoised in CIELAB)
0.5,45,0.005454198707122628,22.632690439090823,0.7335859390198417,0.14776946604251862,RGB (denoised in CIELAB)
1.0,5,0.00910910263976517,20.40524404343545,0.6658074786587859,0.1867445707321167,RGB (denoised in CIELAB)
1.0,10,0.007871048075856578,21.039674349528443,0.6845739962337832,0.15621109306812286,RGB (denoised in CIELAB)
1.0,15,0.00616793464084588,22.098602369788843,0.7151003449084964,0.1294199824333191,RGB (denoised in CIELAB)
1.0,20,0.0049630171170795614,23.042542269504942,0.7424685184624998,0.12775471806526184,RGB (denoised in CIELAB)
1.0,25,0.004325509436837289,23.63962736157964,0.7614215282425633,0.14648544788360596,RGB (denoised in CIELAB)
1.0,30,0.004072388428089859,23.901508052953695,0.7725215570786457,0.17978642880916595,RGB (denoised in CIELAB)
1.0,35,0.004035499966548661,23.941026519550086,0.7780263761068064,0.22058534622192383,RGB (denoised in CIELAB)
1.0,40,0.004105564279081869,23.866271439161167,0.780049819684406,0.262917160987854,RGB (denoised in CIELAB)
1.0,45,0.004220840351338381,23.746010742478706,0.780089906772372,0.30217674374580383,RGB (denoised in CIELAB)
1.5,5,0.008979018522458596,20.467711325504858,0.6674916881005234,0.18247567117214203,RGB (denoised in CIELAB)
