patch_size,patch_distance,MSE,PSNR,SSIM,Perceptual,Method
3,11,0.002994291190784482,25.237059673859108,0.8227642652242614,0.09317038953304291,RGB (denoised in RGB)
3,13,0.002971141269934161,25.2707669814778,0.8241151563560093,0.0958719253540039,RGB (denoised in RGB)
5,5,0.0031898491464128673,24.96229855008524,0.8364618553874363,0.09388034045696259,RGB (denoised in RGB)
5,7,0.003039010099099468,25.172678566900856,0.8374367021719765,0.0984841138124466,RGB (denoised in RGB)
5,9,0.0029708291339998355,25.271223257442806,0.8372689937597428,0.10558174550533295,RGB (denoised in RGB)
5,11,0.0029365575305017894,25.32161486414853,0.8376576621323574,0.11136826872825623,RGB (denoised in RGB)
5,13,0.002929922049609641,25.331439338693464,0.8378928570023341,0.11705733835697174,RGB (denoised in RGB)
7,5,0.003590085839320632,24.44895167271932,0.8225767605463664,0.12010922282934189,RGB (denoised in RGB)
7,7,0.00352175019321061,24.532414528996362,0.8170423038275976,0.13082487881183624,RGB (denoised in RGB)
7,9,0.0035104005021198603,24.54643331984864,0.8123028214152715,0.14178554713726044,RGB (denoised in RGB)
7,11,0.0035198878974483493,24.534711678556352,0.8092815098540042,0.1499093770980835,RGB (denoised in RGB)
7,13,0.003550345746355895,24.49729351614513,0.8066963505811898,0.15762454271316528,RGB (denoised in RGB)
9,5,0.00391598059473388,24.071594689682044,0.8099836999048476,0.13740122318267822,RGB (denoised in RGB)
9,7,0.003909839537837111,24.07841065944771,0.8003304222445099,0.15260270237922668,RGB (denoised in RGB)
9,9,0.0039434898012633834,24.041192780180655,0.7925905977556827,0.16648052632808685,RGB (denoised in RGB)
9,11,0.003987534433981306,23.992955536091195,0.7872525283566058,0.17633265256881714,RGB (denoised in RGB)
9,13,0.004046635007920986,23.929059656589253,0.7826485639603463,0.18542462587356567,RGB (denoised in RGB)
11,5,0.004153429650537136,23.815931410774652,0.8009150772415241,0.14800316095352173,RGB (denoised in RGB)
11,7,0.004191411634870258,23.77639685390454,0.7888699925879035,0.16557073593139648,RGB (denoised in RGB)
11,9,0.004259514284800565,23.70639920957714,0.7793135518632979,0.18107940256595612,RGB (denoised in RGB)
11,11,0.004330784578119404,23.634334184084235,0.772547943570734,0.19201844930648804,RGB (denoised in RGB)
11,13,0.004412972557194057,23.552687732770874,0.766675847271181,0.20208407938480377,RGB (denoised in RGB)
3,5,0.005141836750347361,22.888817160145877,0.723080903065957,0.1216738373041153,RGB (denoised in CIELAB)
3,7,0.005070354621645673,22.949616649589718,0.7208893538449032,0.12708452343940735,RGB (denoised in CIELAB)
3,9,0.00506857463128241,22.951141544341944,0.720418533361299,0.1329336315393448,RGB (denoised in CIELAB)
3,11,0.0050769499545693444,22.94397117580524,0.7213761014546981,0.13587111234664917,RGB (denoised in CIELAB)
3,13,0.005093983832640609,22.929424377403098,0.7225754037503259,0.13839556276798248,RGB (denoised in CIELAB)
5,5,0.004841519916072478,23.150182772936102,0.7480840231663998,0.11454561352729797,RGB (denoised in CIELAB)
5,7,0.004591339609189128,23.38060582437209,0.7504779027360707,0.12127745896577835,RGB (denoised in CIELAB)
5,9,0.004532143097689298,23.43696386197052,0.7493138067035376,0.13200917840003967,RGB (denoised in CIELAB)
5,11,0.0045521608489450605,23.417824007045756,0.7476293057782035,0.14187434315681458,RGB (denoised in CIELAB)
5,13,0.004616196870763582,23.35715677741611,0.7456338095213363,0.1525367647409439,RGB (denoised in CIELAB)
7,5,0.004963161558369696,23.042415876343348,0.7527986395455507,0.11774525046348572,RGB (denoised in CIELAB)
7,7,0.004694432780244073,23.284168752385213,0.7569831220204403,0.12581291794776917,RGB (denoised in CIELAB)
7,9,0.004640390468677689,23.33445473915543,0.7553255552569776,0.13859283924102783,RGB (denoised in CIELAB)
7,11,0.0046841959100208065,23.293649494532765,0.7519630653461625,0.14986568689346313,RGB (denoised in CIELAB)
7,13,0.0047863867124891294,23.19992215811309,0.7476785845288085,0.16192984580993652,RGB (denoised in CIELAB)
9,5,0.005106650850675147,22.91863834490012,0.7524965519032175,0.12165109068155289,RGB (denoised in CIELAB)
9,7,0.004857046858876041,23.13627706604558,0.7568940297121811,0.13127538561820984,RGB (denoised in CIELAB)
9,9,0.004824271946363056,23.165682188040627,0.7545490734272717,0.14600986242294312,RGB (denoised in CIELAB)
9,11,0.0048901239722330654,23.106801306975953,0.7500493427863981,0.15871575474739075,RGB (denoised in CIELAB)
9,13,0.005016432928162269,22.996049900803456,0.7443747571991505,0.171913743019104,RGB (denoised in CIELAB)
11,5,0.005222460297794965,22.821248529300583,0.7510878725529926,0.12510693073272705,RGB (denoised in CIELAB)
11,7,0.004999118355048987,23.01106581123743,0.755239440627289,0.13586914539337158,RGB (denoised in CIELAB)
11,9,0.0049908798818796025,23.018228824008826,0.7522924082349091,0.15197421610355377,RGB (denoised in CIELAB)
11,11,0.005078045062723868,22.94303449502966,0.7470330637246025,0.16599145531654358,RGB (denoised in CIELAB)
11,13,0.0052239141258888944,22.82003970890549,0.7405141118796488,0.18022671341896057,RGB (denoised in CIELAB)
