Image ID,MSE,PSNR,SSIM,Perceptual,Method
BSD100_064,0.0023577539347454865,26.27501521699989,0.8058512150768916,0.1761784702539444,BF
BSD100_065,0.010008185178501728,19.99644667617449,0.4876935875448058,0.48419204354286194,Noisy
BSD100_065,0.0029437812306647862,25.31094468059195,0.6778208948153908,0.6412845849990845,Gaussian
BSD100_065,0.003793420322375565,24.20969033496851,0.5994406831987763,0.49695783853530884,Median
BSD100_065,0.00298496152318597,25.25061262650429,0.6708412534418834,0.4032399356365204,Wiener
BSD100_065,0.010008185178501728,19.99644667617449,0.4876935875448058,0.48419204354286194,Bayesian Markov
BSD100_065,0.002776762301853941,25.564612954069222,0.6359041030549978,0.36118847131729126,NLM
BSD100_065,0.0021818644005892392,26.611722436219974,0.72834475181857,0.28059497475624084,BF
BSD100_066,0.010008676406841298,19.99623351812635,0.37518454791882894,0.532454788684845,Noisy
BSD100_066,0.0020476463706785458,26.8874504404571,0.6851701667552182,0.4767887592315674,Gaussian
BSD100_066,0.0028214466728744675,25.495281537565905,0.582725979747616,0.39845556020736694,Median
BSD100_066,0.0023288704339584415,26.328546726427085,0.6352560805572821,0.3171379566192627,Wiener
BSD100_066,0.010008676406841298,19.99623351812635,0.37518454791882894,0.532454788684845,Bayesian Markov
BSD100_066,0.0017704151768690069,27.51924876079098,0.7627255339325275,0.2724999189376831,NLM
BSD100_066,0.0016452126218304021,27.837779673063903,0.70421288794153,0.23519060015678406,BF
BSD100_067,0.01000140200211998,19.999391160894366,0.13497474828297834,0.8961220383644104,Noisy
BSD100_067,0.0009936737785228794,30.02756170372181,0.6164933290332418,0.6376102566719055,Gaussian
BSD100_067,0.0017765257991305752,27.504284812010027,0.4456120075667038,0.6337015628814697,Median
BSD100_067,0.0018411369376392357,27.34913908916196,0.44121120039123946,0.5882648825645447,Wiener
BSD100_067,0.01000140200211998,19.999391160894366,0.13497474828297834,0.8961220383644104,Bayesian Markov
BSD100_067,0.0002204958781256235,36.565995246724626,0.9317615287488934,0.08062607795000076,NLM
BSD100_067,0.0008829109439852516,30.54083099917676,0.6173657823754697,0.4649468660354614,BF
BSD100_068,0.009990803213208912,20.003995951532104,0.7287037715204797,0.20455041527748108,Noisy
BSD100_068,0.0067397179351484735,21.71358278801755,0.7499271291087078,0.5275951027870178,Gaussian
BSD100_068,0.007209972921873202,21.420663663350968,0.7299977973866874,0.3563923239707947,Median
BSD100_068,0.0050406361440316514,22.975146507749912,0.7966338072661839,0.26546186208724976,Wiener
BSD100_068,0.009990803213208912,20.003995951532104,0.7287037715204797,0.20455041527748108,Bayesian Markov
BSD100_068,0.00405734488738549,23.917580742966077,0.8134677777570146,0.19238829612731934,NLM
BSD100_068,0.003125484021839267,25.050827169642737,0.8635200035590168,0.13873706758022308,BF
BSD100_069,0.010008890413385941,19.996140657827926,0.4951372262507985,0.35370996594429016,Noisy
BSD100_069,0.005353692339385124,22.71346590031137,0.6316979971832957,0.5706899166107178,Gaussian
BSD100_069,0.006455715084287122,21.900556449607652,0.538730372128209,0.4616606533527374,Median
BSD100_069,0.003843705754254103,24.152498661114382,0.6602716676627852,0.3058590590953827,Wiener
BSD100_069,0.010008890413385941,19.996140657827926,0.4951372262507985,0.35370996594429016,Bayesian Markov
BSD100_069,0.003169078917869604,24.99066945672893,0.7905911699889593,0.19451746344566345,NLM
BSD100_069,0.00244459644894126,26.117928234373085,0.7451674045496691,0.19140951335430145,BF
BSD100_070,0.009984918847102488,20.006554605277607,0.3351478391534379,0.47130075097084045,Noisy
BSD100_070,0.002018908558964897,26.948833508118252,0.701414675959926,0.36492207646369934,Gaussian
BSD100_070,0.002621338668992773,25.814768659007612,0.5913677592759936,0.29979628324508667,Median
BSD100_070,0.0020812228747331615,26.816814094165004,0.6415699670125694,0.2225659191608429,Wiener
BSD100_070,0.009984918847102488,20.006554605277607,0.3351478391534379,0.47130075097084045,Bayesian Markov
BSD100_070,0.0014842706243595755,28.28486907715479,0.7216253145535506,0.24798893928527832,NLM
BSD100_070,0.0014343011001455637,28.433596684694646,0.7042712035076167,0.1781754046678543,BF
BSD100_071,0.010011933013037787,19.99482064793476,0.2725811745538725,0.5010681748390198,Noisy
BSD100_071,0.001836781084938419,27.359426015976513,0.6189647530010802,0.5010868310928345,Gaussian
BSD100_071,0.0026065231427023793,25.839384147218766,0.49219807687018063,0.4213375151157379,Median
BSD100_071,0.002163396696486191,26.648638377969583,0.5440640042722997,0.3207087218761444,Wiener
BSD100_071,0.010011933013037787,19.99482064793476,0.2725811745538725,0.5010681748390198,Bayesian Markov
BSD100_071,0.001177073519666793,29.291964104034346,0.7444904972281318,0.2716185450553894,NLM
BSD100_071,0.001351582422345207,28.691574649647066,0.6488616255673415,0.2436516135931015,BF
BSD100_072,0.009986734418687412,20.005764993408715,0.5214665392058545,0.3710622787475586,Noisy
BSD100_072,0.00300438776427077,25.222440154045533,0.7103905875292877,0.5098375082015991,Gaussian
BSD100_072,0.0038379540621491727,24.159002277960976,0.6467552394986525,0.3911484479904175,Median
BSD100_072,0.002966936721226197,25.27691716209395,0.7170480235263211,0.28716474771499634,Wiener
BSD100_072,0.009986734418687412,20.005764993408715,0.5214665392058545,0.3710622787475586,Bayesian Markov
BSD100_072,0.0030133615939717247,25.209487512193803,0.643012896302798,0.2943805456161499,NLM
BSD100_072,0.002270676490895447,26.43844736421854,0.7546227822369834,0.2190924882888794,BF
BSD100_073,0.009999703016586313,20.000128980173038,0.4504094159676053,0.5181013941764832,Noisy
BSD100_073,0.002263857105752898,26.45150989207053,0.6892321834581909,0.6089022755622864,Gaussian
BSD100_073,0.003269792781237859,24.854797693019492,0.6024204207771234,0.5099369883537292,Median
BSD100_073,0.0027333329217082004,25.633074677383373,0.6680966618496406,0.3897712230682373,Wiener
BSD100_073,0.009999703016586313,20.000128980173038,0.4504094159676053,0.5181013941764832,Bayesian Markov
BSD100_073,0.0025874784929715783,25.87123251360179,0.6051972034772942,0.3910430371761322,NLM
BSD100_073,0.00201175018438092,26.964259501970496,0.7180758270543874,0.3025560975074768,BF
BSD100_074,0.009973194527517295,20.01165709947639,0.4304187796429289,0.39655473828315735,Noisy
BSD100_074,0.002809930333453497,25.51304447415839,0.668787961444493,0.48732125759124756,Gaussian
BSD100_074,0.003776934636256147,24.22860531020742,0.5690167649223793,0.400347501039505,Median
BSD100_074,0.0028394174689056126,25.46770750090147,0.6481788594490715,0.28958576917648315,Wiener
BSD100_074,0.009973194527517295,20.01165709947639,0.4304187796429289,0.39655473828315735,Bayesian Markov
BSD100_074,0.0023622597503853635,26.266723497552288,0.7277840389848326,0.23321108520030975,NLM
BSD100_074,0.0020019709936231677,26.98542219264621,0.7198210813028606,0.2071378231048584,BF
BSD100_075,0.01002148956204127,19.990677215331058,0.44082552710135703,0.37582939863204956,Noisy
BSD100_075,0.004254504638955376,23.711509984682102,0.6497135549166145,0.541631817817688,Gaussian
BSD100_075,0.004754489364925634,23.22896119715745,0.5614674022374326,0.4110969007015228,Median
BSD100_075,0.0029696645736696937,25.27292601871684,0.652425925854223,0.3056302070617676,Wiener
BSD100_075,0.01002148956204127,19.990677215331058,0.44082552710135703,0.37582939863204956,Bayesian Markov
BSD100_075,0.0022152342992782692,26.545803328710207,0.7429140943103344,0.2369757443666458,NLM
BSD100_075,0.0019646983227345058,27.067041256091375,0.7224923019634012,0.20752546191215515,BF
BSD100_076,0.010004728656466889,19.997946855982004,0.2973393990556867,0.702515721321106,Noisy
BSD100_076,0.00159315571002922,27.977417755474683,0.6751973330082081,0.5420046448707581,Gaussian
BSD100_076,0.002476015979348617,26.062465568568733,0.5512535680071958,0.491990327835083,Median
BSD100_076,0.0021559466633976447,26.663619874920762,0.5962147256347058,0.40820959210395813,Wiener
BSD100_076,0.010004728656466889,19.997946855982004,0.2973393990556867,0.702515721321106,Bayesian Markov
BSD100_076,0.0013814716283843402,28.596580298662893,0.7016178851228704,0.3488534092903137,NLM
BSD100_076,0.001387186165265546,28.578652511674566,0.682142384449019,0.3412857949733734,BF
BSD100_077,0.009991503985572046,20.00369134049047,0.5615029834144697,0.4004656672477722,Noisy
BSD100_077,0.004218805030040289,23.748105448561375,0.6384506622090361,0.6774529814720154,Gaussian
BSD100_077,0.005359642754825368,22.70864157094289,0.5744459611938892,0.575188934803009,Median
BSD100_077,0.0037730946676994503,24.233022981269382,0.683183868524547,0.44549310207366943,Wiener
BSD100_077,0.009991503985572046,20.00369134049047,0.5615029834144697,0.4004656672477722,Bayesian Markov
BSD100_077,0.0038247648569159375,24.173952597215965,0.6073246671155219,0.4075097143650055,NLM
BSD100_077,0.0027600134767531113,25.590887973314413,0.7435494177184148,0.3175402879714966,BF
BSD100_078,0.010002954369217339,19.998717123246653,0.3592821014552598,0.6856956481933594,Noisy
BSD100_078,0.001652667643204389,27.81814475669373,0.7303184565667394,0.5858544111251831,Gaussian
BSD100_078,0.002511589332065545,26.000513702684533,0.6204290393259745,0.5397119522094727,Median
BSD100_078,0.0021830223857321226,26.60941810809373,0.6594224085395651,0.44870537519454956,Wiener
BSD100_078,0.010002954369217339,19.998717123246653,0.3592821014552598,0.6856956481933594,Bayesian Markov
BSD100_078,0.0015290833814771453,28.155688317047044,0.7585291967580732,0.29319480061531067,NLM
BSD100_078,0.0014524138774557314,28.379096101628534,0.7354999316600495,0.3362293839454651,BF
BSD100_079,0.0099916016859665,20.00364887387603,0.2394685667990947,0.5270515084266663,Noisy
BSD100_079,0.0018222796956810791,27.393849638238375,0.6418147682915842,0.41462230682373047,Gaussian
BSD100_079,0.002293110982582285,26.395749256640087,0.5040988309310136,0.34434372186660767,Median
BSD100_079,0.0019103167634931945,27.18894613259652,0.5460637171314517,0.29145917296409607,Wiener
BSD100_079,0.0099916016859665,20.00364887387603,0.2394685667990947,0.5270515084266663,Bayesian Markov
BSD100_079,0.0006127119698776213,32.12743635253126,0.9202962230908075,0.05030867084860802,NLM
BSD100_079,0.0011363102053969039,29.44503092831388,0.6600392405549608,0.20697495341300964,BF
BSD100_080,0.010042912844522935,19.981403062318012,0.25061872489499654,0.8773429989814758,Noisy
BSD100_080,0.0016230374804926467,27.896714509789522,0.6476600024166168,0.5853682160377502,Gaussian
BSD100_080,0.0025542916937449493,25.92729508893185,0.5070528127180384,0.6048535108566284,Median
BSD100_080,0.0021765967939370917,26.62222014866314,0.5520200046530324,0.49364566802978516,Wiener
BSD100_080,0.010042912844522935,19.981403062318012,0.25061872489499654,0.8773429989814758,Bayesian Markov
BSD100_080,0.001342200843577263,28.721824925642544,0.7518675158839372,0.3228839933872223,NLM
BSD100_080,0.001361354741239757,28.660286917779587,0.6624898159344051,0.3512797951698303,BF
BSD100_081,0.009996439207985326,20.001546707714745,0.1655775385888177,0.7361469864845276,Noisy
BSD100_081,0.0010875272742020177,29.635598425233,0.6104231101053802,0.5101355910301208,Gaussian
BSD100_081,0.0019159266290557585,27.176211263672553,0.4503234592545547,0.5137358903884888,Median
BSD100_081,0.0019009206643743493,27.21036008196853,0.4601409330984314,0.47516071796417236,Wiener
BSD100_081,0.009996439207985326,20.001546707714745,0.1655775385888177,0.7361469864845276,Bayesian Markov
BSD100_081,0.00046085238512730395,33.36438160490567,0.8717744286133849,0.22725600004196167,NLM
BSD100_081,0.0009963778852706729,30.015759202478346,0.6123624986881641,0.37631943821907043,BF
BSD100_082,0.010020330079525052,19.991179721458966,0.32364773890155146,0.5961894392967224,Noisy
BSD100_082,0.0021292552664943557,26.717722698982893,0.6109956514060074,0.6683027148246765,Gaussian
BSD100_082,0.0031347836806730122,25.037924227858646,0.4869052302243693,0.5813825130462646,Median
BSD100_082,0.002537788747121546,25.955445326660154,0.5609712134902239,0.4406451880931854,Wiener
BSD100_082,0.010020330079525052,19.991179721458966,0.32364773890155146,0.5961894392967224,Bayesian Markov
BSD100_082,0.001806472192309498,27.431687192991085,0.70015320728438,0.3573947846889496,NLM
BSD100_082,0.0016808138916300378,27.7448037122006,0.6579661477824955,0.344500333070755,BF
BSD100_083,0.0100267406578579,19.98840217961544,0.5671136730688863,0.29004359245300293,Noisy
BSD100_083,0.005732216389625608,22.416774234654607,0.6394672928737629,0.5842295289039612,Gaussian
BSD100_083,0.006843517553458892,21.647206144517778,0.5743128439124153,0.4586615264415741,Median
BSD100_083,0.003995174830058359,23.98464211076327,0.6849640832490419,0.3270952105522156,Wiener
BSD100_083,0.0100267406578579,19.98840217961544,0.5671136730688863,0.29004359245300293,Bayesian Markov
BSD100_083,0.003922415218635292,24.06446434733195,0.6422674279322808,0.3465080261230469,NLM
BSD100_083,0.002666039761365828,25.741333777980024,0.7574172259147046,0.205746591091156,BF
BSD100_084,0.010039644802501723,19.982816520358483,0.520585722322521,0.3315008580684662,Noisy
BSD100_084,0.0070069260916227685,21.544724633783645,0.6096906505109166,0.5764581561088562,Gaussian
BSD100_084,0.008136932457364437,20.895392889589964,0.5308088166261086,0.4948957860469818,Median
BSD100_084,0.004302324333766089,23.66296853117432,0.6654265289080046,0.30695876479148865,Wiener
BSD100_084,0.010039644802501723,19.982816520358483,0.520585722322521,0.3315008580684662,Bayesian Markov
BSD100_084,0.003449393940720839,24.622572038606858,0.7742601982737686,0.19454029202461243,NLM
BSD100_084,0.002611154081061406,25.8316750022594,0.7514272592413039,0.17790137231349945,BF
BSD100_085,0.010003775076179954,19.9983608146293,0.4057821590969925,0.4996545612812042,Noisy
BSD100_085,0.003699180992760801,24.318944190943693,0.6566800277407897,0.4951329827308655,Gaussian
BSD100_085,0.0043455394887411515,23.619562992063358,0.5529341296697199,0.38949376344680786,Median
BSD100_085,0.002800366585886916,25.52785113012488,0.6469958294455065,0.29071372747421265,Wiener
BSD100_085,0.010003775076179954,19.9983608146293,0.4057821590969925,0.4996545612812042,Bayesian Markov
BSD100_085,0.0020003379106589975,26.988966341666956,0.804460596864225,0.18525169789791107,NLM
BSD100_085,0.0018055676709177726,27.433862299979246,0.7212984749251219,0.21585997939109802,BF
BSD100_086,0.009990118848953322,20.00429345093579,0.5011430007531221,0.2987554669380188,Noisy
BSD100_086,0.00338192091754315,24.708365521126655,0.6697921719575087,0.4416739046573639,Gaussian
BSD100_086,0.0043013802611943895,23.663921621800633,0.595224305986262,0.33504748344421387,Median
BSD100_086,0.0030841025938482597,25.108711834093157,0.6835960149505261,0.22434136271476746,Wiener
BSD100_086,0.009990118848953322,20.00429345093579,0.5011430007531221,0.2987554669380188,Bayesian Markov
BSD100_086,0.0031840497013794463,24.97020161767795,0.6195367269782898,0.28679853677749634,NLM
BSD100_086,0.0022907277352236764,26.400265258767725,0.7331633538578584,0.17410822212696075,BF
